frame_idx,phase,segment,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker,ttl_code
0,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.0,1000.382907,1040.236873,DOMAIN_ONSET_onset,
1,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.013084,1000.395457,1040.249957,,
2,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.029832,1000.412115,1040.266705,,
3,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.046427,1000.428764,1040.2833,,
4,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.063028,1000.445554,1040.299901,,
5,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.079824,1000.462302,1040.316697,,
6,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.097307,1000.479595,1040.33418,,
7,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.113209,1000.495584,1040.350082,,
8,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.129837,1000.512402,1040.36671,,
9,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.146377,1000.528638,1040.38325,,
10,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.163142,1000.545478,1040.400016,,
11,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.179795,1000.562187,1040.416668,,
12,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.196605,1000.578966,1040.433478,,
13,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.213039,1000.595311,1040.449912,,
14,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.229798,1000.612117,1040.466671,,
15,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.246536,1000.628876,1040.483409,,
16,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.26291,1000.645133,1040.499783,,
17,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.279857,1000.662273,1040.51673,,
18,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.296371,1000.678636,1040.533244,,
19,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.313033,1000.695375,1040.549907,,
20,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.329756,1000.712042,1040.566629,,
21,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.346698,1000.729011,1040.583571,,
22,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.363382,1000.745687,1040.600255,,
23,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.381113,1000.763417,1040.617986,,
24,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.396531,1000.778837,1040.633404,,
25,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.413285,1000.795704,1040.650158,,
26,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.429889,1000.812295,1040.666762,,
27,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.446547,1000.828833,1040.68342,,
28,phase_2,DOMAIN_ONSET,10,block5_phase_2_t10,0.462965,1000.845227,1040.699838,,
